Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PSFF,21,0,0.00,0,0.00,20.82,21,0
BOCT,17,0,0.00,0,0.00,30.62,17,0
RESD,16,0,0.00,0,0.00,29.62,16,0
SHAG,16,0,0.00,0,0.00,51.40,16,0
VFLQ,12,0,0.00,0,0.00,102.45,12,0
VFMV,12,0,0.00,0,0.00,94.26,12,0
VWID,10,0,0.00,0,0.00,28.03,10,0
LVHI,8,0,0.00,0,0.00,23.85,8,0
FYLD,7,0,0.00,0,0.00,26.00,7,0
KAPR,7,0,0.00,0,0.00,27.02,7,0
NAPR,7,0,0.00,0,0.00,35.58,7,0
DFND,5,0,0.00,0,0.00,36.66,5,0
HEGD,5,0,0.00,0,0.00,17.26,5,0
GSUS,4,0,0.00,0,0.00,55.09,4,0
IBHE,4,0,0.00,0,0.00,25.06,4,0
IEFN,4,0,0.00,0,0.00,27.09,4,0
SOVB,4,0,0.00,0,0.00,26.41,4,0
DFVL,3,0,0.00,0,0.00,84.14,3,0
FEBZ,3,0,0.00,0,0.00,25.75,3,0
HYXU,3,0,0.00,0,0.00,56.66,3,0
PSMB,3,0,0.00,0,0.00,15.89,3,0
DFVS,2,0,0.00,0,0.00,14.00,2,0
DOCT,2,0,0.00,0,0.00,31.28,2,0
EURZ,2,0,0.00,0,0.00,25.13,2,0
FEDX,2,0,0.00,0,0.00,28.56,2,0
MBND,2,0,0.00,0,0.00,30.19,2,0
STLG,2,0,0.00,0,0.00,33.63,2,0
BLDG,1,0,0.00,0,0.00,30.40,1,0
MBBB,1,0,0.00,0,0.00,25.08,1,0
TFLT,1,0,0.00,0,0.00,24.14,1,0
TMDV,1,0,0.00,0,0.00,43.05,1,0
ALTS,0,0,0.00,0,0.00,0.00,0,0
AMER,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
AVDG,0,0,0.00,0,0.00,0.00,0,0
BAUG,0,0,0.00,0,0.00,0.00,0,0
BMAY,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DAUG,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DEFN,0,0,0.00,0,0.00,0.00,0,0
DJUL,0,0,0.00,0,0.00,0.00,0,0
DJUN,0,0,0.00,0,0.00,0.00,0,0
DMAY,0,0,0.00,0,0.00,0.00,0,0
DNOV,0,0,0.00,0,0.00,0.00,0,0
DSEP,0,0,0.00,0,0.00,0.00,0,0
DSJA,0,0,0.00,0,0.00,0.00,0,0
EAOK,0,0,0.00,0,0.00,0.00,0,0
EAOM,0,0,0.00,0,0.00,0.00,0,0
EGIS,0,0,0.00,0,0.00,0.00,0,0
EMSH,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
FJUL,0,0,0.00,0,0.00,0.00,0,0
FJUN,0,0,0.00,0,0.00,0.00,0,0
FOCT,0,0,0.00,0,0.00,0.00,0,0
FSEP,0,0,0.00,0,0.00,0.00,0,0
FUT,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
IBHA,0,0,0.00,0,0.00,0.00,0,0
IBMO,0,0,0.00,0,0.00,0.00,0,0
ICOW,0,0,0.00,0,0.00,0.00,0,0
IMLP,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
KWT,0,0,0.00,0,0.00,0.00,0,0
